,time,load,forecast_load,wind,forecast_wind,solar,forecast_solar,inertia,forecast_other_generation,other_generation
0,2021-01-01 01:00:00,43694.84007,43881.1015625,14011.96131,9703.9,0.00906988,0.0,246377.8064,34177.2015625,29682.86969012
1,2021-01-01 02:00:00,43305.09227,43370.1015625,14314.17858,14298.300000000001,0.00906988,0.0,245706.4204,29071.801562499997,28990.90462012
2,2021-01-01 03:00:00,43045.02148,43049.1015625,14248.92749,13850.800000000001,0.00906988,0.0,249035.1286,29198.301562499997,28796.08492012
3,2021-01-01 04:00:00,43078.00114,43735.1015625,13277.16762,13276.2,0.00906988,0.0,251018.4888,30458.9015625,29800.82445012
4,2021-01-01 05:00:00,43460.65018,43698.0,12249.4625,12632.6,0.010907382,0.0,251330.3111,31065.4,31211.176772617997
5,2021-01-01 06:00:00,44204.90495,44587.6015625,11366.80182,13549.0,0.00906988,0.0,255314.8908,31038.6015625,32838.09406012
6,2021-01-01 07:00:00,45223.53712,45953.5,10727.56528,11933.1,0.00906988,0.0,255726.4688,34020.4,34495.96277012
7,2021-01-01 08:00:00,45885.27596,46460.1015625,10331.52069,11080.2,5.004402351,9.0,255572.3027,35370.9015625,35548.750867649
8,2021-01-01 09:00:00,45932.21953,46544.0,9890.61319,10133.9,629.731905,528.0,256813.8002,35882.1,35411.874435
9,2021-01-01 10:00:00,45820.5658,46902.3984375,9903.446582,9377.9,1972.53864,2251.1,257891.5938,35273.3984375,33944.580577999994
10,2021-01-01 11:00:00,45661.4059,46406.0,11023.88449,9832.300000000001,2681.344974,2825.8,256919.4776,33747.899999999994,31956.176436
11,2021-01-01 12:00:00,45154.29166,45332.3984375,11061.89693,9789.5,2843.33267,3064.5,255941.7744,32478.3984375,31249.06206
12,2021-01-01 13:00:00,44271.66697,43779.30078125,9932.809386,9657.7,2830.557224,2934.6,254381.3289,31187.000781250004,31508.300359999997
13,2021-01-01 14:00:00,43283.81071,42462.8984375,8835.0367,9001.800000000001,2765.326751,2938.9,255538.1128,30522.198437499996,31683.447258999993
14,2021-01-01 15:00:00,42426.2084,41804.1015625,7338.04604,7722.2,2604.755785,2824.0,253992.9236,31257.901562500003,32483.406575
15,2021-01-01 16:00:00,42069.61467,41327.0,5829.277429,5689.400000000001,2778.461491,2404.1,255059.7448,33233.5,33461.87575
16,2021-01-01 17:00:00,42539.57346,41662.8984375,4315.132416,4499.8,1765.596781,1605.5,260666.4874,35557.5984375,36458.844263
17,2021-01-01 18:00:00,44423.37092,43526.19921875,3342.460005,3582.8,292.0391036,276.5,264134.3294,39666.89921875,40788.8718114
18,2021-01-01 19:00:00,46100.96872,45386.8984375,3504.131142,3389.4,0.046070802,0.0,264564.3672,41997.4984375,42596.791507198
19,2021-01-01 20:00:00,46222.53906,45610.1015625,3566.65016,3296.8,0.021714473,0.0,264711.3514,42313.3015625,42655.86718552701
20,2021-01-01 21:00:00,45999.97584,45381.19921875,3774.288157,3624.2000000000003,0.021714473,0.0,264727.138,41756.99921875,42225.665968527
21,2021-01-01 22:00:00,45503.57042,45296.5,3561.502603,4153.0,0.021714473,0.0,263452.3716,41143.5,41942.046102527
22,2021-01-01 23:00:00,44240.75533,44500.1015625,4095.858301,4443.0,0.021714473,0.0,261179.7515,40057.1015625,40144.875314527
